locationId,providerId,name,registrationStatus,registrationDate,postalAddressLine1,postalAddressTownCity,postalAddressCounty,region,postalCode,mainPhoneNumber,localAuthority,numberOfBeds,currentRatings.overall.rating,currentRatings.overall.reportDate,regulatedActivities,gacServiceTypes
1-15199356318,1-15126086868,Woodgate,Registered,2023-05-03,Queens Road,Maidstone,Kent,South East,ME16 0JG,01622677235,Kent,6.0,Good,2019-07-05,"[{'name': 'Accommodation for persons who require nursing or personal care', 'code': 'RA2', 'contacts': [{'personTitle': 'Miss', 'personGivenName': 'Karen Hetherington', 'personFamilyName': 'McCaw', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Residential homes', 'description': 'Care home service without nursing'}]"
1-1525242076,1-118163873,Home Instead,Registered,2014-07-30,"Unit 1, Little Cliffsend Farm",Ramsgate,Kent,South East,CT12 5HP,01843862268,Kent,0.0,Good,2019-08-28,"[{'name': 'Personal care', 'code': 'RA1', 'contacts': [{'personTitle': 'Mrs', 'personGivenName': 'Sabina', 'personFamilyName': 'Sabatowska', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Homecare agencies', 'description': 'Domiciliary care service'}]"
1-152721284,1-101674829,St Stephens Nursing Home,Registered,2011-01-26,Godwyne Road,Dover,Kent,South East,CT16 1SW,01304202864,Kent,17.0,Good,2019-07-16,"[{'name': 'Accommodation for persons who require nursing or personal care', 'code': 'RA2', 'contacts': [{'personTitle': 'Mrs', 'personGivenName': 'Beverley Jane', 'personFamilyName': 'Menniss', 'personRoles': ['Registered Manager']}]}, {'name': 'Treatment of disease, disorder or injury', 'code': 'RA5', 'contacts': [{'personTitle': 'Mrs', 'personGivenName': 'Beverley Jane', 'personFamilyName': 'Menniss', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Nursing homes', 'description': 'Care home service with nursing'}]"
1-15274827350,1-14822207731,Care Matrix Homecare,Registered,2023-03-31,Wises Oast,Sittingbourne,,South East,ME9 8LR,02080580529,Kent,0.0,Not rated,,"[{'name': 'Personal care', 'code': 'RA1', 'contacts': [{'personTitle': 'Mrs', 'personGivenName': 'Alice', 'personFamilyName': 'Hammond', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Homecare agencies', 'description': 'Domiciliary care service'}, {'name': 'Supported living', 'description': 'Supported living service'}]"
1-15275437951,1-13924536535,Browns Clinic,Registered,2023-03-23,Browns View,Sevenoaks,,South East,TN15 8JU,07835357060,Kent,0.0,Not rated,,"[{'name': 'Treatment of disease, disorder or injury', 'code': 'RA5', 'contacts': [{'personTitle': 'Miss', 'personGivenName': 'Marion Denise', 'personFamilyName': 'Brown', 'personRoles': ['Registered Manager']}]}, {'name': 'Diagnostic and screening procedures', 'code': 'RA8', 'contacts': [{'personTitle': 'Miss', 'personGivenName': 'Marion Denise', 'personFamilyName': 'Brown', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Doctors/Gps', 'description': 'Doctors consultation service'}]"
1-15302138723,1-10649599170,CCS Care Ltd,Registered,2023-04-12,"FA3B, The Old Library",Maidstone,,South East,ME14 1LH,,Kent,0.0,Not rated,,"[{'name': 'Personal care', 'code': 'RA1', 'contacts': []}]","[{'name': 'Homecare agencies', 'description': 'Domiciliary care service'}, {'name': 'Supported living', 'description': 'Supported living service'}]"
1-1531195955,1-1469358264,Tankerton Dental Centre,Registered,2014-07-28,244 Tankerton Road,Whitstable,Kent,South East,CT5 2AY,01227282829,Kent,0.0,Inspected but not rated,2024-02-22,"[{'name': 'Treatment of disease, disorder or injury', 'code': 'RA5', 'contacts': []}, {'name': 'Surgical procedures', 'code': 'RA7', 'contacts': []}, {'name': 'Diagnostic and screening procedures', 'code': 'RA8', 'contacts': []}]","[{'name': 'Dentist', 'description': 'Dental service'}]"
1-15323218420,1-12452456930,Hyllden Heights Care Home,Registered,2023-04-01,140 Tonbridge Road,Tonbridge,,South East,TN11 9HJ,01732443030,Kent,78.0,Not rated,,"[{'name': 'Accommodation for persons who require nursing or personal care', 'code': 'RA2', 'contacts': [{'personTitle': 'Mr', 'personGivenName': 'Laurence Patrick', 'personFamilyName': 'Thurlow', 'personRoles': ['Registered Manager']}]}, {'name': 'Treatment of disease, disorder or injury', 'code': 'RA5', 'contacts': [{'personTitle': 'Mr', 'personGivenName': 'Laurence Patrick', 'personFamilyName': 'Thurlow', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Nursing homes', 'description': 'Care home service with nursing'}]"
1-15351517090,1-14976795055,Extended Caring Limited,Registered,2023-04-17,12 Green Oak Crescent,Sittingbourne,,South East,ME9 8GR,07988749544,Kent,0.0,Not rated,,"[{'name': 'Personal care', 'code': 'RA1', 'contacts': [{'personTitle': 'Mrs', 'personGivenName': 'Michelle Audrey', 'personFamilyName': 'Mudambi', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Homecare agencies', 'description': 'Domiciliary care service'}]"
1-15471918794,1-14821919206,Peters Village Dental,Registered,2023-04-24,"Unit 5, Peters Village Centre",Rochester,,South East,ME1 3AP,07885529968,Kent,0.0,Not rated,,"[{'name': 'Treatment of disease, disorder or injury', 'code': 'RA5', 'contacts': [{'personTitle': 'Ms', 'personGivenName': 'Zoe Victoria', 'personFamilyName': 'Kindred', 'personRoles': ['Registered Manager']}]}, {'name': 'Surgical procedures', 'code': 'RA7', 'contacts': [{'personTitle': 'Ms', 'personGivenName': 'Zoe Victoria', 'personFamilyName': 'Kindred', 'personRoles': ['Registered Manager']}]}, {'name': 'Diagnostic and screening procedures', 'code': 'RA8', 'contacts': [{'personTitle': 'Ms', 'personGivenName': 'Zoe Victoria', 'personFamilyName': 'Kindred', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Dentist', 'description': 'Dental service'}]"
1-15476909220,1-15351576653,One Ashford Hospital,Registered,2023-09-06,"Unit C, Kennington Road",Ashford,,South East,TN24 0YS,01233423000,Kent,0.0,Good,2017-09-05,"[{'name': 'Family planning', 'code': 'RA15', 'contacts': [{'personTitle': 'Mrs', 'personGivenName': 'Joanna Mary', 'personFamilyName': 'Nolan', 'personRoles': ['Registered Manager']}]}, {'name': 'Treatment of disease, disorder or injury', 'code': 'RA5', 'contacts': [{'personTitle': 'Mrs', 'personGivenName': 'Joanna Mary', 'personFamilyName': 'Nolan', 'personRoles': ['Registered Manager']}]}, {'name': 'Surgical procedures', 'code': 'RA7', 'contacts': [{'personTitle': 'Mrs', 'personGivenName': 'Joanna Mary', 'personFamilyName': 'Nolan', 'personRoles': ['Registered Manager']}]}, {'name': 'Diagnostic and screening procedures', 'code': 'RA8', 'contacts': [{'personTitle': 'Mrs', 'personGivenName': 'Joanna Mary', 'personFamilyName': 'Nolan', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Hospital', 'description': 'Acute services with overnight beds'}]"
1-15550466680,1-9717262925,The London Road Medical Centre,Registered,2023-06-16,32 London Road,Sittingbourne,,South East,ME10 1ND,01795519460,Kent,0.0,Requires improvement,2022-01-26,"[{'name': 'Maternity and midwifery services', 'code': 'RA11', 'contacts': [{'personTitle': 'Mr', 'personGivenName': 'Mohammad Abdul', 'personFamilyName': 'Halim', 'personRoles': ['Registered Manager']}]}, {'name': 'Family planning', 'code': 'RA15', 'contacts': [{'personTitle': 'Mr', 'personGivenName': 'Mohammad Abdul', 'personFamilyName': 'Halim', 'personRoles': ['Registered Manager']}]}, {'name': 'Treatment of disease, disorder or injury', 'code': 'RA5', 'contacts': [{'personTitle': 'Mr', 'personGivenName': 'Mohammad Abdul', 'personFamilyName': 'Halim', 'personRoles': ['Registered Manager']}]}, {'name': 'Diagnostic and screening procedures', 'code': 'RA8', 'contacts': [{'personTitle': 'Mr', 'personGivenName': 'Mohammad Abdul', 'personFamilyName': 'Halim', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Doctors/Gps', 'description': 'Doctors consultation service'}]"
1-15560556765,1-118166337,Endurance Care Deal and Hythe Head Office,Registered,2023-04-24,"Unit 12 Discovery Park, Innovation House",Sandwich,,South East,CT13 9ND,07376427340,Kent,0.0,Not rated,,"[{'name': 'Personal care', 'code': 'RA1', 'contacts': [{'personTitle': 'Mr', 'personGivenName': 'Daniel Steven', 'personFamilyName': 'Burgess', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Supported living', 'description': 'Supported living service'}]"
1-156141553,1-101682038,North Lodge Care Home,Registered,2011-01-31,47 St Peters Road,Margate,Kent,South East,CT9 1TJ,01843229390,Kent,21.0,Good,2022-04-27,"[{'name': 'Accommodation for persons who require nursing or personal care', 'code': 'RA2', 'contacts': [{'personTitle': 'Mrs', 'personGivenName': 'Jacqueline', 'personFamilyName': 'Spearman', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Residential homes', 'description': 'Care home service without nursing'}]"
1-156160589,1-137625209,Lindau Residential Home,Registered,2011-01-26,104 Littlestone Road,New Romney,Kent,South East,TN28 8NH,01797364371,Kent,37.0,Not rated,,"[{'name': 'Accommodation for persons who require nursing or personal care', 'code': 'RA2', 'contacts': [{'personTitle': 'Mrs', 'personGivenName': 'Natacha', 'personFamilyName': 'Heyburn', 'personRoles': ['Registered Manager']}]}, {'name': 'Treatment of disease, disorder or injury', 'code': 'RA5', 'contacts': [{'personTitle': 'Mrs', 'personGivenName': 'Natacha', 'personFamilyName': 'Heyburn', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Nursing homes', 'description': 'Care home service with nursing'}]"
1-1562746096,1-1389950203,Kent Home Care Limited,Registered,2014-08-16,2 Oaten Hill Court,Canterbury,Kent,South East,CT1 3HS,01227788700,Kent,0.0,Good,2019-08-22,"[{'name': 'Personal care', 'code': 'RA1', 'contacts': [{'personTitle': 'Mr', 'personGivenName': 'Shaun', 'personFamilyName': 'Farkhondeh', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Homecare agencies', 'description': 'Domiciliary care service'}]"
1-15642971295,1-9043388006,Your Care Nursing Ltd,Registered,2023-04-25,71 Colney Road,Dartford,,South East,DA1 1TQ,07985713385,Kent,0.0,Not rated,,"[{'name': 'Personal care', 'code': 'RA1', 'contacts': [{'personTitle': 'Mr', 'personGivenName': 'Ismael', 'personFamilyName': 'Kallon', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Homecare agencies', 'description': 'Domiciliary care service'}, {'name': 'Supported living', 'description': 'Supported living service'}]"
1-15679435453,1-15631832551,Willows Care Southern Limited,Registered,2023-11-15,5-13 Second Avenue,Margate,,South East,CT9 2LL,01843228570,Kent,40.0,Not rated,,"[{'name': 'Accommodation for persons who require nursing or personal care', 'code': 'RA2', 'contacts': [{'personTitle': 'Mrs', 'personGivenName': 'Tracy Rose', 'personFamilyName': 'Butler', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Residential homes', 'description': 'Care home service without nursing'}]"
1-156868778,1-101694259,Hazeldene House,Registered,2011-01-17,Romford Road,Tunbridge Wells,Kent,South East,TN2 4AY,01892823018,Kent,78.0,Good,2022-06-11,"[{'name': 'Personal care', 'code': 'RA1', 'contacts': [{'personTitle': 'Miss', 'personGivenName': 'Eva Agnes', 'personFamilyName': 'Robinson', 'personRoles': ['Registered Manager']}]}, {'name': 'Accommodation for persons who require nursing or personal care', 'code': 'RA2', 'contacts': [{'personTitle': 'Miss', 'personGivenName': 'Eva Agnes', 'personFamilyName': 'Robinson', 'personRoles': ['Registered Manager']}]}, {'name': 'Treatment of disease, disorder or injury', 'code': 'RA5', 'contacts': [{'personTitle': 'Miss', 'personGivenName': 'Eva Agnes', 'personFamilyName': 'Robinson', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Community services - Nursing', 'description': 'Community health care services - Nurses Agency only'}, {'name': 'Nursing homes', 'description': 'Care home service with nursing'}, {'name': 'Residential homes', 'description': 'Care home service without nursing'}, {'name': 'Homecare agencies', 'description': 'Domiciliary care service'}, {'name': 'Supported living', 'description': 'Supported living service'}]"
1-157008300,1-101646925,The West Gate,Registered,2011-01-26,2-4 Canterbury Road,Margate,Kent,South East,CT8 8JJ,01843831585,Kent,52.0,Not rated,,"[{'name': 'Accommodation for persons who require nursing or personal care', 'code': 'RA2', 'contacts': [{'personTitle': 'Mr', 'personGivenName': 'George Antony', 'personFamilyName': 'Brown', 'personRoles': ['Registered Manager']}, {'personTitle': 'Mrs', 'personGivenName': 'Monika Elzbieta', 'personFamilyName': 'Liszka', 'personRoles': ['Registered Manager']}]}, {'name': 'Treatment of disease, disorder or injury', 'code': 'RA5', 'contacts': [{'personTitle': 'Mr', 'personGivenName': 'George Antony', 'personFamilyName': 'Brown', 'personRoles': ['Registered Manager']}, {'personTitle': 'Mrs', 'personGivenName': 'Monika Elzbieta', 'personFamilyName': 'Liszka', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Nursing homes', 'description': 'Care home service with nursing'}]"
1-157259694,1-118540073,Blair Park Residential Care Home,Registered,2010-12-20,2 Beechwood Avenue Crown Road,Sittingbourne,Kent,South East,ME10 2AL,01795423695,Kent,40.0,Not rated,,"[{'name': 'Accommodation for persons who require nursing or personal care', 'code': 'RA2', 'contacts': [{'personTitle': 'Miss', 'personGivenName': 'Louise Cheryl', 'personFamilyName': 'Stocker', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Residential homes', 'description': 'Care home service without nursing'}]"
1-1573513396,1-101677610,Kent Enablement at Home,Registered,2014-08-15,Kroner House,Ashford,Kent,South East,TN24 8XU,03000410404,Kent,0.0,Good,2019-07-06,"[{'name': 'Personal care', 'code': 'RA1', 'contacts': [{'personTitle': 'Mrs', 'personGivenName': 'Jacqueline Ann', 'personFamilyName': 'Peters', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Homecare agencies', 'description': 'Domiciliary care service'}]"
1-15750825471,1-11044705996,CES Medical – Tunbridge Wells,Registered,2023-06-28,141 London Road,Tunbridge Wells,,South East,TN4 0NA,01892320388,Kent,0.0,Not rated,,"[{'name': 'Treatment of disease, disorder or injury', 'code': 'RA5', 'contacts': [{'personTitle': 'Mrs', 'personGivenName': 'Brigatte Sales', 'personFamilyName': 'Mishov', 'personRoles': ['Registered Manager']}]}, {'name': 'Surgical procedures', 'code': 'RA7', 'contacts': [{'personTitle': 'Mrs', 'personGivenName': 'Brigatte Sales', 'personFamilyName': 'Mishov', 'personRoles': ['Registered Manager']}]}, {'name': 'Diagnostic and screening procedures', 'code': 'RA8', 'contacts': [{'personTitle': 'Mrs', 'personGivenName': 'Brigatte Sales', 'personFamilyName': 'Mishov', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Clinic', 'description': 'Acute services without overnight beds / listed acute services with or without overnight beds'}]"
1-157829646,1-118540001,Woodside Residential Care Home,Registered,2010-12-20,Whitfield Hill,Dover,Kent,South East,CT16 3BE,01304825713,Kent,40.0,Not rated,,"[{'name': 'Accommodation for persons who require nursing or personal care', 'code': 'RA2', 'contacts': [{'personTitle': 'Ms', 'personGivenName': 'Julie Anne', 'personFamilyName': 'Mason', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Residential homes', 'description': 'Care home service without nursing'}]"
1-15827017990,1-14573832575,69 Burroughs Drive Dartford,Registered,2023-05-10,69 Burroughs Drive,Dartford,,South East,DA1 5TW,07853453332,Kent,0.0,Not rated,,"[{'name': 'Personal care', 'code': 'RA1', 'contacts': [{'personTitle': 'Mrs', 'personGivenName': 'Cynthia Nneoma', 'personFamilyName': 'Oti', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Homecare agencies', 'description': 'Domiciliary care service'}, {'name': 'Supported living', 'description': 'Supported living service'}]"
1-15829456541,1-10494570830,Anele De Novo Dental Practice,Registered,2023-05-17,143 Reculver Road,Herne Bay,Kent,South East,CT6 6PD,01227371937,Kent,0.0,Not rated,,"[{'name': 'Treatment of disease, disorder or injury', 'code': 'RA5', 'contacts': [{'personTitle': 'Dr', 'personGivenName': 'Shabat', 'personFamilyName': 'Momin', 'personRoles': ['Registered Manager']}]}, {'name': 'Surgical procedures', 'code': 'RA7', 'contacts': [{'personTitle': 'Dr', 'personGivenName': 'Shabat', 'personFamilyName': 'Momin', 'personRoles': ['Registered Manager']}]}, {'name': 'Diagnostic and screening procedures', 'code': 'RA8', 'contacts': [{'personTitle': 'Dr', 'personGivenName': 'Shabat', 'personFamilyName': 'Momin', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Dentist', 'description': 'Dental service'}]"
1-15920202846,1-102642938,Mount Ephraim House,Registered,2023-05-24,Mount Ephraim,Tunbridge Wells,,South East,TN4 8BU,01892520316,Kent,57.0,Not rated,,"[{'name': 'Accommodation for persons who require nursing or personal care', 'code': 'RA2', 'contacts': []}]","[{'name': 'Residential homes', 'description': 'Care home service without nursing'}]"
1-15920617478,1-15252521803,Respect 4Care Ltd,Registered,2023-06-08,122 High Street,Herne Bay,,South East,CT6 5JY,01227532296,Kent,0.0,Not rated,,"[{'name': 'Personal care', 'code': 'RA1', 'contacts': [{'personTitle': 'Miss', 'personGivenName': 'Jaqi Anna', 'personFamilyName': 'Stevens', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Homecare agencies', 'description': 'Domiciliary care service'}]"
1-15920632534,1-15124880927,Shamrock Road,Registered,2023-06-22,40 Shamrock Road,Gravesend,,South East,DA12 2LH,07575154975,Kent,0.0,Not rated,,"[{'name': 'Personal care', 'code': 'RA1', 'contacts': [{'personTitle': 'Mr', 'personGivenName': 'Martin Kimbugwe', 'personFamilyName': 'Jemba', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Homecare agencies', 'description': 'Domiciliary care service'}]"
1-159640070,1-131465019,"Bluebird Care (Maidstone, Tonbridge & Royal Tunbridge Wells)",Registered,2011-01-25,47 The Terrace,Gravesend,,South East,DA12 2DL,01622618786,Kent,0.0,Good,2019-04-24,"[{'name': 'Personal care', 'code': 'RA1', 'contacts': [{'personTitle': 'Mrs', 'personGivenName': 'Melanie Anne', 'personFamilyName': 'Marriott', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Homecare agencies', 'description': 'Domiciliary care service'}]"
1-15976555845,1-15259342898,Willows Residential Home,Registered,2023-06-13,The Broadway,Sheerness,Kent,South East,ME12 2DE,01795874975,Kent,15.0,Good,2019-07-03,"[{'name': 'Accommodation for persons who require nursing or personal care', 'code': 'RA2', 'contacts': [{'personTitle': 'Mrs', 'personGivenName': 'Marie', 'personFamilyName': 'Butcher', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Residential homes', 'description': 'Care home service without nursing'}]"
1-15976767271,1-8598647813,The Annexe,Registered,2023-05-31,Canterbury Medical Practice,Canterbury,,South East,CT1 3NR,,Kent,0.0,Not rated,,"[{'name': 'Family planning', 'code': 'RA15', 'contacts': [{'personTitle': 'Dr', 'personGivenName': 'Kunal Bhasker', 'personFamilyName': 'Patel', 'personRoles': ['Registered Manager']}]}, {'name': 'Treatment of disease, disorder or injury', 'code': 'RA5', 'contacts': [{'personTitle': 'Dr', 'personGivenName': 'Kunal Bhasker', 'personFamilyName': 'Patel', 'personRoles': ['Registered Manager']}]}, {'name': 'Diagnostic and screening procedures', 'code': 'RA8', 'contacts': [{'personTitle': 'Dr', 'personGivenName': 'Kunal Bhasker', 'personFamilyName': 'Patel', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Doctors/Gps', 'description': 'Doctors treatment service'}]"
1-159795654,1-101616057,Fiveways,Registered,2011-01-26,Kingsdown Park East,Whitstable,Kent,South East,CT5 2DT,02085315885,Kent,5.0,Not rated,,"[{'name': 'Accommodation for persons who require nursing or personal care', 'code': 'RA2', 'contacts': [{'personTitle': 'Miss', 'personGivenName': 'Sheila Dawn', 'personFamilyName': 'Jude', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Residential homes', 'description': 'Care home service without nursing'}]"
1-160563690,1-139903202,Mayflower Care Home,Registered,2011-02-14,Hartshill Road,Gravesend,Kent,South East,DA11 7DX,01474531030,Kent,76.0,Not rated,,"[{'name': 'Accommodation for persons who require nursing or personal care', 'code': 'RA2', 'contacts': []}, {'name': 'Treatment of disease, disorder or injury', 'code': 'RA5', 'contacts': []}]","[{'name': 'Nursing homes', 'description': 'Care home service with nursing'}]"
1-16129723690,1-13592793094,Oradent - Ashford,Registered,2023-10-06,169 Beaver Road,Ashford,Kent,South East,TN23 7SG,01233620359,Kent,0.0,Inspected but not rated,2023-11-29,"[{'name': 'Treatment of disease, disorder or injury', 'code': 'RA5', 'contacts': [{'personTitle': 'Dr', 'personGivenName': 'Anish', 'personFamilyName': 'Patel', 'personRoles': ['Registered Manager']}]}, {'name': 'Surgical procedures', 'code': 'RA7', 'contacts': [{'personTitle': 'Dr', 'personGivenName': 'Anish', 'personFamilyName': 'Patel', 'personRoles': ['Registered Manager']}]}, {'name': 'Diagnostic and screening procedures', 'code': 'RA8', 'contacts': [{'personTitle': 'Dr', 'personGivenName': 'Anish', 'personFamilyName': 'Patel', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Dentist', 'description': 'Dental service'}]"
1-16137733777,1-13592793094,Oradent - New Romney,Registered,2023-10-06,George Lane,New Romney,Kent,South East,TN28 8BS,01797364330,Kent,0.0,Not rated,,"[{'name': 'Treatment of disease, disorder or injury', 'code': 'RA5', 'contacts': [{'personTitle': 'Dr', 'personGivenName': 'Anish', 'personFamilyName': 'Patel', 'personRoles': ['Registered Manager']}]}, {'name': 'Surgical procedures', 'code': 'RA7', 'contacts': [{'personTitle': 'Dr', 'personGivenName': 'Anish', 'personFamilyName': 'Patel', 'personRoles': ['Registered Manager']}]}, {'name': 'Diagnostic and screening procedures', 'code': 'RA8', 'contacts': [{'personTitle': 'Dr', 'personGivenName': 'Anish', 'personFamilyName': 'Patel', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Dentist', 'description': 'Dental service'}]"
1-16138580352,1-13592793094,Oradent - Lydd,Registered,2023-10-06,Church Road,Romney Marsh,Kent,South East,TN29 9DT,01797320337,Kent,0.0,No published rating,,"[{'name': 'Treatment of disease, disorder or injury', 'code': 'RA5', 'contacts': [{'personTitle': 'Dr', 'personGivenName': 'Anish', 'personFamilyName': 'Patel', 'personRoles': ['Registered Manager']}]}, {'name': 'Surgical procedures', 'code': 'RA7', 'contacts': [{'personTitle': 'Dr', 'personGivenName': 'Anish', 'personFamilyName': 'Patel', 'personRoles': ['Registered Manager']}]}, {'name': 'Diagnostic and screening procedures', 'code': 'RA8', 'contacts': [{'personTitle': 'Dr', 'personGivenName': 'Anish', 'personFamilyName': 'Patel', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Dentist', 'description': 'Dental service'}]"
1-16293463323,1-15331585090,S and N Care Ltd,Registered,2023-06-13,26 Kings Hill Avenue,West Malling,Kent,South East,ME19 4AE,,Kent,0.0,Not rated,,"[{'name': 'Personal care', 'code': 'RA1', 'contacts': [{'personTitle': 'Mrs', 'personGivenName': 'Lizzy Bwalya', 'personFamilyName': 'Mbaluku', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Homecare agencies', 'description': 'Domiciliary care service'}]"
1-16309567410,1-15076234656,"Maidstone, Kent",Registered,2023-06-14,17 Saltwood Road,Maidstone,,South East,ME15 6UY,07876733136,Kent,0.0,Not rated,,"[{'name': 'Personal care', 'code': 'RA1', 'contacts': [{'personTitle': 'Mr', 'personGivenName': 'Crispen', 'personFamilyName': 'Nyoni', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Homecare agencies', 'description': 'Domiciliary care service'}]"
1-16380703575,1-15226698538,Chime Care Limited,Registered,2023-06-21,F10 Crown House,Dartford,,South East,DA1 1DZ,02080499776,Kent,0.0,Not rated,,"[{'name': 'Personal care', 'code': 'RA1', 'contacts': []}]","[{'name': 'Homecare agencies', 'description': 'Domiciliary care service'}]"
1-16419632222,1-16369559825,Kent Smile Studio,Registered,2023-08-10,15/16 Northumberland Court,Maidstone,,South East,ME15 7LW,07863126888,Kent,0.0,Not rated,,"[{'name': 'Treatment of disease, disorder or injury', 'code': 'RA5', 'contacts': [{'personTitle': 'Dr', 'personGivenName': 'Shushil Hiralal', 'personFamilyName': 'Dattani', 'personRoles': ['Registered Manager']}]}, {'name': 'Surgical procedures', 'code': 'RA7', 'contacts': [{'personTitle': 'Dr', 'personGivenName': 'Shushil Hiralal', 'personFamilyName': 'Dattani', 'personRoles': ['Registered Manager']}]}, {'name': 'Diagnostic and screening procedures', 'code': 'RA8', 'contacts': [{'personTitle': 'Dr', 'personGivenName': 'Shushil Hiralal', 'personFamilyName': 'Dattani', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Dentist', 'description': 'Dental service'}]"
1-16419787708,1-7880432694,Infant Feeding Consultancy,Registered,2023-06-27,Milstead Manor,Sittingbourne,,South East,ME9 0SE,07899768362,Kent,0.0,Not rated,,"[{'name': 'Surgical procedures', 'code': 'RA7', 'contacts': []}]","[{'name': 'Community services - Healthcare', 'description': 'Community healthcare service'}]"
1-16419902693,1-191585714,78 MPR,Registered,2023-07-20,78-80,Tunbridge Wells,,South East,TN1 1RJ,02076313276,Kent,0.0,Not rated,,"[{'name': 'Treatment of disease, disorder or injury', 'code': 'RA5', 'contacts': [{'personTitle': 'Dr', 'personGivenName': 'Farid', 'personFamilyName': 'Monibi', 'personRoles': ['Registered Manager']}]}, {'name': 'Surgical procedures', 'code': 'RA7', 'contacts': [{'personTitle': 'Dr', 'personGivenName': 'Farid', 'personFamilyName': 'Monibi', 'personRoles': ['Registered Manager']}]}, {'name': 'Diagnostic and screening procedures', 'code': 'RA8', 'contacts': [{'personTitle': 'Dr', 'personGivenName': 'Farid', 'personFamilyName': 'Monibi', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Dentist', 'description': 'Dental service'}]"
1-16429710087,1-15354145195,Dunamis Consultancy Ltd,Registered,2023-07-21,"G04, The Nucleus",Dartford,,South East,DA1 5GA,01322475021,Kent,0.0,Not rated,,"[{'name': 'Personal care', 'code': 'RA1', 'contacts': [{'personTitle': 'Mr', 'personGivenName': 'Saviour Etong', 'personFamilyName': 'Ogbodum', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Homecare agencies', 'description': 'Domiciliary care service'}]"
1-16430409843,1-6448123216,Gravesham Community Hospital,Registered,2023-06-29,Bath Street,Gravesend,Kent,South East,DA11 0DG,01474555530,Kent,0.0,Not rated,,"[{'name': 'Treatment of disease, disorder or injury', 'code': 'RA5', 'contacts': [{'personTitle': 'Dr', 'personGivenName': 'Amritpal Singh', 'personFamilyName': 'Gill', 'personRoles': ['Registered Manager']}, {'personTitle': 'Dr', 'personGivenName': 'Siva Yogesh Raveenthira', 'personFamilyName': 'Nathan', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Doctors/Gps', 'description': 'Doctors consultation service'}]"
1-16438193852,1-15061324997,Dominion Logic Services,Registered,2023-06-30,2 Breeze Meadow,Faversham,,South East,ME13 7FZ,03300436303,Kent,0.0,Not rated,,"[{'name': 'Personal care', 'code': 'RA1', 'contacts': [{'personTitle': 'Miss', 'personGivenName': 'Olabisi Arikie', 'personFamilyName': 'Awoniyi', 'personRoles': ['Registered Manager']}, {'personTitle': 'Mr', 'personGivenName': 'Oluwayemisi Omotayo', 'personFamilyName': 'Ayetigbo', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Homecare agencies', 'description': 'Domiciliary care service'}, {'name': 'Supported living', 'description': 'Supported living service'}]"
1-16441021795,1-5458053592,Cavell Park Care Home,Registered,2023-07-24,"Eclipse Park, Sittingbourne Road",Maidstone,,South East,ME14 3EN,08081686629,Kent,69.0,Not rated,,"[{'name': 'Accommodation for persons who require nursing or personal care', 'code': 'RA2', 'contacts': []}, {'name': 'Treatment of disease, disorder or injury', 'code': 'RA5', 'contacts': []}]","[{'name': 'Nursing homes', 'description': 'Care home service with nursing'}]"
